AREA,GOV_CODE,SEC_CODE,SEC_NAME,GOV_NAME,MALE03,FEMALE03,TOT03,FAMILY03
20097574.7188,21,2106,قسم الأهرام,الجيزة,119359.0000,110000.0000,229359.0000,54248.0000
11255011.3828,21,2104,قسم الجيزة,الجيزة,214492.0000,200199.0000,414691.0000,97204.0000
11255011.3828,21,2104,قسم الجيزة,الجيزة,214492.0000,200199.0000,414691.0000,97204.0000
11255011.3828,21,2104,قسم الجيزة,الجيزة,214492.0000,200199.0000,414691.0000,97204.0000
11255011.3828,21,2104,قسم الجيزة,الجيزة,214492.0000,200199.0000,414691.0000,97204.0000
11255011.3828,21,2104,قسم الجيزة,الجيزة,214492.0000,200199.0000,414691.0000,97204.0000
19798183.5898,21,2108,قسم الحوامدية,الجيزة,67881.0000,64377.0000,132258.0000,28635.0000
5092196.1250,21,2103,قسم الدقي,الجيزة,57124.0000,49155.0000,106279.0000,31351.0000
5266755.9219,21,2102,قسم العجوزة,الجيزة,97388.0000,91425.0000,188813.0000,50497.0000
17525590.2930,21,2118,قسم العمرانية,الجيزة,295646.0000,278620.0000,574266.0000,140734.0000
173254360.5149,21,2114,قسم الواحات البحرية,الجيزة,16125.0000,14811.0000,30936.0000,6264.0000
173254360.5149,21,2114,قسم الواحات البحرية,الجيزة,16125.0000,14811.0000,30936.0000,6264.0000
173254360.5149,21,2114,قسم الواحات البحرية,الجيزة,16125.0000,14811.0000,30936.0000,6264.0000
173254360.5149,21,2114,قسم الواحات البحرية,الجيزة,16125.0000,14811.0000,30936.0000,6264.0000
173254360.5149,21,2114,قسم الواحات البحرية,الجيزة,16125.0000,14811.0000,30936.0000,6264.0000
173254360.5149,21,2114,قسم الواحات البحرية,الجيزة,16125.0000,14811.0000,30936.0000,6264.0000
173254360.5149,21,2114,قسم الواحات البحرية,الجيزة,16125.0000,14811.0000,30936.0000,6264.0000
173254360.5149,21,2114,قسم الواحات البحرية,الجيزة,16125.0000,14811.0000,30936.0000,6264.0000
173254360.5149,21,2114,قسم الواحات البحرية,الجيزة,16125.0000,14811.0000,30936.0000,6264.0000
173254360.5149,21,2114,قسم الواحات البحرية,الجيزة,16125.0000,14811.0000,30936.0000,6264.0000
173254360.5149,21,2114,قسم الواحات البحرية,الجيزة,16125.0000,14811.0000,30936.0000,6264.0000
173254360.5149,21,2114,قسم الواحات البحرية,الجيزة,16125.0000,14811.0000,30936.0000,6264.0000
173254360.5149,21,2114,قسم الواحات البحرية,الجيزة,16125.0000,14811.0000,30936.0000,6264.0000
26963917.6914,21,2117,قسم الوراق,الجيزة,225607.0000,210005.0000,435612.0000,99899.0000
26963917.6914,21,2117,قسم الوراق,الجيزة,225607.0000,210005.0000,435612.0000,99899.0000
6970218.8438,21,2101,قسم امبابه,الجيزة,305380.0000,284632.0000,590012.0000,135812.0000
9223171.2148,21,2105,قسم بولاق الدكرور,الجيزة,274221.0000,255865.0000,530086.0000,125608.0000
39344148.7554,21,2119,قسم الشيخ زايد,الجيزة,0.0000,0.0000,0.0000,0.0000
122241758.3789,21,2115,مركز أطفيح,الجيزة,121622.0000,115188.0000,236810.0000,44278.0000
122241758.3789,21,2115,مركز أطفيح,الجيزة,121622.0000,115188.0000,236810.0000,44278.0000
122241758.3789,21,2115,مركز أطفيح,الجيزة,121622.0000,115188.0000,236810.0000,44278.0000
117103334.9063,21,2110,مركز البدرشين,الجيزة,168736.0000,159117.0000,327853.0000,69492.0000
117103334.9063,21,2110,مركز البدرشين,الجيزة,168736.0000,159117.0000,327853.0000,69492.0000
117103334.9063,21,2110,مركز البدرشين,الجيزة,168736.0000,159117.0000,327853.0000,69492.0000
56335240.2539,21,2109,مركز الجيزة,الجيزة,105843.0000,97815.0000,203658.0000,44989.0000
56335240.2539,21,2109,مركز الجيزة,الجيزة,105843.0000,97815.0000,203658.0000,44989.0000
56335240.2539,21,2109,مركز الجيزة,الجيزة,105843.0000,97815.0000,203658.0000,44989.0000
134905152.6484,21,2111,مركز الصف,الجيزة,135298.0000,131085.0000,266383.0000,57215.0000
134905152.6484,21,2111,مركز الصف,الجيزة,135298.0000,131085.0000,266383.0000,57215.0000
134905152.6484,21,2111,مركز الصف,الجيزة,135298.0000,131085.0000,266383.0000,57215.0000
152837313.0156,21,2112,مركز العياط,الجيزة,167731.0000,153219.0000,320950.0000,67197.0000
52920336.0117,21,2116,مركز أوسيم,الجيزة,115197.0000,108285.0000,223482.0000,44228.0000
52920336.0117,21,2116,مركز أوسيم,الجيزة,115197.0000,108285.0000,223482.0000,44228.0000
52920336.0117,21,2116,مركز أوسيم,الجيزة,115197.0000,108285.0000,223482.0000,44228.0000
33034611.4636,21,2107,قسم أول 6 أكتوبر,الجيزة,0.0000,0.0000,0.0000,0.0000
53306814.2820,21,2121,قسم ثان 6 أكتوبر,الجيزة,0.0000,0.0000,0.0000,0.0000
76264605.3828,21,2120,مركز كرداسة,الجيزة,,,,
203004939.9055,21,2113,مركز إمبابة,الجيزة,372100.0000,353669.0000,725769.0000,159370.0000
